area,categoria,item_historico,coeficiente,erro_padrao
area1,prato_principal_2,Bife de grão de bico,41.98280083955225,25.687130846749934
area1,prato_principal_2,Ovo frito,38.29695104533869,18.223824677161716
area1,prato_principal_2,Hamburguer de lentilha,35.274830336355066,38.13165341798802
area1,prato_principal_2,Grão de bico,30.703154438724855,33.24386995364873
area1,prato_principal_2,Omelete,28.701489393447368,16.72002003000102
area1,prato_principal_2,Lasanha de abobrinha,26.07544749300257,37.30041987474034
area1,prato_principal_2,Hamburguer de PVT,23.301198965245753,41.233745641543116
area1,prato_principal_2,Quibe de brócolis,21.138354849744083,21.973680660933063
area1,prato_principal_2,Quibe de abóbora,3.986225241651442,48.665906563106496
area1,prato_principal_2,Bife de lentilha,3.1042285901962785,47.915216895315915
area1,prato_principal_2,Lasanha de berinjela,1.963282104044734,128.64962755612953
area1,prato_principal_2,Estrogonofe de legumes,-0.9203405828450386,81.91058585637188
area1,prato_principal_2,Bife de PVT,-2.543758762705908,66.48742563875282
area1,prato_principal_2,Almôndega de aveia,-3.9699830763847697,23.743448546735035
area1,prato_principal_2,Bife de feijão,-5.177451492096583,46.15484391758312
area1,prato_principal_2,Suflê de legumes,-17.909976917640325,23.102086113103585
area1,prato_principal_2,Almôndega de ricota,-18.28110262593783,33.7825361025506
area1,prato_principal_2,Cassoulet,-24.638963648866536,24.405604050941268
area1,prato_principal_2,Ovo cozido,-27.24387610500032,28.470339551739745
area1,prato_principal_2,PVT,-29.17303561829389,16.31697001239662
area1,prato_principal_2,Grãos gratinados,-36.075852976225654,52.78380486737292
area1,prato_principal_2,Curry de legumes,-37.49342832959428,23.471026656323303
area1,prato_principal_2,Estrogonofe de grão de bico,-44.878454420813945,36.729763528489954
area1,prato_principal_2,Batata especial,-49.06996648872707,35.76710342625294
area1,prato_principal_2,Almôndega de feijão,-57.78402444807427,82.70173378497086
area1,prato_principal_2,Moussaka,-58.893245083758906,24.91726262724238
area1,prato_principal_2,Escondidinho de PVT,-62.52222576663294,95.6647706771993
area1,prato_principal_2,Grãos com queijo,-62.725503784893135,28.601021854101365
area1,prato_principal_2,Quibe de PVT,-64.92355117139336,55.77392882578277
area1,prato_principal_2,Batatalhoada,-179.35494809750998,69.93191261224948
area1,sobremesa_1,Kit junino,212.13502628929425,46.88756851353042
area1,sobremesa_1,Canjica,160.69924381815736,51.36279093216193
area1,sobremesa_1,Doce de banana,114.53627363615276,34.48857940095321
area1,sobremesa_1,Sorvete,107.14110383359028,27.83024161465895
area1,sobremesa_1,Flan de baunilha,87.84295176620876,33.19290357051884
area1,sobremesa_1,Mousse de morango,78.20413147534025,58.61246844718914
area1,sobremesa_1,Espumone,60.348917001705054,103.89469777449105
area1,sobremesa_1,Curau,51.318901751302576,48.25394735108203
area1,sobremesa_1,Pé de moça,46.66324484983235,44.11916676664121
area1,sobremesa_1,Chocolate,39.45145937651784,18.194828947868654
area1,sobremesa_1,Doce de batata,33.81935615262645,41.676647398860474
area1,sobremesa_1,Picolé,33.628579878176325,24.24266459368322
area1,sobremesa_1,Marigel,30.071574769932656,29.296640110373232
area1,sobremesa_1,Doce de leite,27.823761356982274,42.478306005919244
area1,sobremesa_1,Pudim de maria mole,25.510811368955654,23.993649481390037
area1,sobremesa_1,Bombom,21.70072469105358,23.133630124544943
area1,sobremesa_1,Bananada,18.009970386867263,35.11704496279996
area1,sobremesa_1,Manjar,12.89095505578417,27.0393915666539
area1,sobremesa_1,Pão de mel,12.324955818973022,34.57862793217835
area1,sobremesa_1,Brigadeirão,11.957600467739043,25.67917757899141
area1,sobremesa_1,Bolinho,11.014273517582783,17.23076123341323
area1,sobremesa_1,Barra de cereais,10.617891053884033,18.797153371139487
area1,sobremesa_1,Gelatina,-5.830989106471744,21.5971282825489
area1,sobremesa_1,Banana caramelada,-12.156188094696827,148.4553155789056
area1,sobremesa_1,Sagu,-18.154153364328327,65.67897607366291
area1,sobremesa_1,Torrone,-19.37541061788215,27.46087175448942
area1,sobremesa_1,Cocada,-20.469695723200946,28.421189239125454
area1,sobremesa_1,Surpresa de banana,-21.148799610025613,66.72181290853885
area1,sobremesa_1,Mosaico,-25.30425789197388,31.87572873029247
area1,sobremesa_1,Romeu,-28.236271025435254,122.56377765535314
area1,sobremesa_1,Surpresa de abacaxi,-29.44644466157467,40.98680844838148
area1,sobremesa_1,Pudim de pão,-33.76905902114827,33.494117217801474
area1,sobremesa_1,Mousse de maracujá,-34.07612958429395,37.813334242169404
area1,sobremesa_1,Doce de abóbora,-46.590527110406846,49.14075725302353
area1,sobremesa_1,Arroz doce,-46.780769093244544,22.671098603543093
area1,sobremesa_1,Goiabada,-47.60258932957951,19.21327052448354
area1,sobremesa_1,Iogurte,-49.09736970049685,23.78301392057566
area1,sobremesa_1,Beijinho,-58.01923810155332,35.045860671921176
area1,sobremesa_1,Pudim de coco,-60.890017064846404,83.2396512932568
area1,sobremesa_1,Mousse de limão,-73.75384877242222,39.0132059580462
area1,sobremesa_1,Ovo de páscoa,-127.88024965835157,67.26525005111623
