Mês;Dia_semana;Dia_mês;Aluno_almoço;Bolsista_almoço;Pós_Doc_almoço;Aluno_Externo_almoço;Func_almoço;Visitante_almoço;Comunidade_almoço;Total_almoço;Aluno_jantar;Bolsista_jantar;Pós_Doc_jantar;Aluno_Externo_jantar;Func_jantar;Visitante_jantar;Comunidade_jantar;Total_jantar;Total_dia
5;sáb;18;NaN;NaN;NaN;NaN;NaN;0;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
5;dom;19;NaN;NaN;NaN;NaN;NaN;0;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
5;seg;20;414;116;3;3;1;0;0;537;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;537
5;ter;21;497;125;2;4;0;0;0;628;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;628
5;qua;22;371;116;4;3;1;0;9;504;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;504
5;qui;23;493;120;1;1;0;0;0;615;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;615
5;sex;24;268;89;2;1;1;0;0;361;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;361
5;sáb;25;NaN;NaN;NaN;NaN;NaN;0;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
5;dom;26;NaN;NaN;NaN;NaN;NaN;0;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
5;seg;27;492;142;3;2;1;0;0;640;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;640
5;ter;28;524;112;3;3;1;0;0;643;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;643
5;qua;29;411;111;4;4;1;0;0;531;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;531
5;qui;30;NaN;NaN;NaN;NaN;NaN;0;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
5;sex;31;NaN;NaN;NaN;NaN;NaN;0;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
6;sáb;1;NaN;NaN;NaN;NaN;NaN;0;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
6;dom;2;NaN;NaN;NaN;NaN;NaN;0;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
6;seg;3;458;138;6;3;1;0;0;606;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;606
6;ter;4;562;159;5;7;1;0;0;734;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;734
6;qua;5;539;149;7;5;1;0;9;710;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;710
6;qui;6;433;119;4;4;0;0;0;560;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;560
6;sex;7;281;74;4;4;0;0;0;363;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;363
6;sáb;8;NaN;NaN;NaN;NaN;NaN;0;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
6;dom;9;NaN;NaN;NaN;NaN;NaN;0;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
6;seg;10;400;115;5;4;1;0;0;525;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;525
6;ter;11;495;143;4;3;1;0;0;646;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;646
6;qua;12;487;138;6;4;1;0;8;644;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;644
6;qui;13;382;108;6;4;5;0;0;505;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;505
6;sex;14;221;71;5;3;1;0;0;301;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;301
6;sáb;15;NaN;NaN;NaN;NaN;NaN;0;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
6;dom;16;NaN;NaN;NaN;NaN;NaN;0;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
6;seg;17;360;119;8;4;2;0;0;493;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;493
6;ter;18;448;125;7;4;1;0;0;585;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;585
6;qua;19;239;79;3;3;3;0;9;336;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;336
6;qui;20;434;145;5;6;3;0;0;593;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;593
6;sex;21;201;58;6;5;2;0;0;272;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;272
6;sáb;22;NaN;NaN;NaN;NaN;NaN;0;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
6;dom;23;NaN;NaN;NaN;NaN;NaN;0;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
