Mês;Dia_semana;Dia_mês;Aluno_almoço;Bolsista_almoço;Pós_Doc_almoço;Aluno_Externo_almoço;Comunidade_almoço;Func_almoço;Visitante_almoço;Total_almoço;Aluno_jantar;Bolsista_jantar;Pós_Doc_jantar;Aluno_Externo_jantar;Comunidade_jantar;Func_jantar;Visitante;Total_jantar;Total_dia;Café;Café_Bolsista;Total_dia_com_café
1;qua;17;454;192;3;28;0;2;0;679;276;141;1;9;0;0;0;427;1106;63;36;1205
1;qui;18;489;198;7;28;0;2;0;724;347;165;1;19;0;0;0;532;1256;75;48;1379
1;sex;19;440;199;6;32;0;3;0;680;281;139;1;16;0;0;0;437;1117;68;43;1228
1;sáb;20;207;129;1;16;0;1;0;354;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;354;22;14;390
1;dom;21;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;0
1;seg;22;367;184;2;29;0;0;0;582;365;180;1;19;0;0;0;565;1147;67;55;1269
1;ter;23;475;207;4;31;0;3;0;720;381;191;3;20;0;0;0;595;1315;67;42;1424
1;qua;24;476;212;2;25;0;1;0;716;339;176;1;11;0;0;0;527;1243;59;44;1346
1;qui;25;463;194;1;19;0;3;0;680;365;187;1;11;0;0;0;564;1244;62;49;1355
1;sex;26;398;175;1;24;0;5;0;603;236;126;1;4;0;0;0;367;970;51;47;1068
1;sáb;27;178;82;0;21;0;0;0;281;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;281;26;20;327
1;dom;28;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;0
1;seg;29;418;184;1;27;0;3;0;633;334;155;1;6;0;0;0;496;1129;56;47;1232
1;ter;30;532;211;1;29;0;3;0;776;406;201;1;13;0;0;0;621;1397;69;57;1523
1;qua;31;465;204;1;24;0;3;0;697;311;162;1;2;0;0;0;476;1173;53;50;1276
2;qui;1;491;224;2;23;0;1;0;741;383;202;1;12;0;0;0;598;1339;55;58;1452
2;sex;2;465;209;2;20;0;3;0;699;293;164;1;9;0;0;0;467;1166;61;48;1275
2;sáb;3;223;126;0;20;0;1;0;370;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;370;NaN;NaN;370
2;dom;4;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;0
2;seg;5;520;230;1;24;0;1;0;776;426;216;1;8;0;0;0;651;1427;73;52;1552
2;ter;6;594;268;3;33;0;1;0;899;485;243;1;19;0;1;0;749;1648;65;41;1754
2;qua;7;539;230;1;19;0;3;0;792;364;176;2;13;0;0;0;555;1347;65;45;1457
2;qui;8;550;226;2;22;0;2;0;802;389;201;0;12;0;1;0;603;1405;60;51;1516
2;sex;9;416;191;1;17;0;3;0;628;331;176;2;10;0;0;0;519;1147;58;38;1243
2;sáb;10;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;0
2;dom;11;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;0
2;seg;12;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;0
