Mês;Dia_semana;Dia_mês;Aluno_almoço;Bolsista_almoço;Pós_Doc_almoço;Aluno_Externo_almoço;Func_almoço;Visitante_almoço;Comunidade_almoço;Total_almoço
12;qua;6;252;81;3;1;0;0;0;337
12;qui;7;289;79;6;1;1;0;0;376
12;sex;8;163;46;3;1;0;0;0;213
12;sáb;9;NaN;NaN;NaN;NaN;NaN;0;0;0
12;dom;10;NaN;NaN;NaN;NaN;NaN;0;0;0
12;seg;11;129;35;4;1;1;0;0;170
12;ter;12;256;62;4;2;2;0;0;326
12;qua;13;300;59;5;2;2;0;0;368
12;qui;14;303;89;5;3;2;0;0;402
12;sex;15;98;25;2;2;1;0;0;128
12;sáb;16;NaN;NaN;NaN;NaN;NaN;0;0;0
12;dom;17;NaN;NaN;NaN;NaN;NaN;0;0;0
12;seg;18;50;16;1;1;0;0;0;68
12;ter;19;56;19;2;1;2;0;0;80
12;qua;20;38;7;2;0;0;0;0;47
12;qui;21;25;8;1;1;1;0;0;36
12;sex;22;NaN;NaN;NaN;NaN;NaN;0;0;0
12;sáb;23;NaN;NaN;NaN;NaN;NaN;0;0;0
12;dom;24;NaN;NaN;NaN;NaN;NaN;0;0;0
12;seg;25;NaN;NaN;NaN;NaN;NaN;0;0;0
