Mês;Dia_semana;Dia_mês;Aluno_almoço;Bolsista_almoço;Pós_Doc_almoço;Aluno_Externo_almoço;Comunidade_almoço;Func_almoço;Visitante_almoço;Total_almoço;Aluno_jantar;Bolsista_jantar;Pós_Doc_jantar;Aluno_Externo_jantar;Comunidade_jantar;Func_jantar;Visitante;Total_jantar;Total_dia;Café;Café_Bolsista;Total_dia_com_café
10;ter;28;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;0
10;qua;29;1703;655;11;20;39;4;2;2434;1062;502;1;5;64;1;0;1635;4069;236;225;4530
10;qui;30;1793;712;11;23;34;5;1;2579;1375;629;7;4;12;2;0;2029;4608;236;212;5056
10;sex;31;1300;543;7;18;68;4;1;1941;776;381;4;2;57;1;0;1221;3162;201;184;3547
11;sáb;1;628;354;9;3;0;1;0;995;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;995;79;84;1158
11;dom;2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;0
11;seg;3;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;0
11;ter;4;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;0
11;qua;5;1805;703;12;14;74;3;0;2611;1514;668;3;4;47;2;0;2238;4849;252;243;5344
11;qui;6;1062;496;9;12;69;5;0;1653;1473;689;2;7;66;2;0;2239;3892;282;261;4435
11;sex;7;1664;717;13;19;76;5;0;2494;1038;516;4;2;72;3;0;1635;4129;227;217;4573
11;sáb;8;575;324;2;2;0;4;0;907;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;907;86;91;1084
11;dom;9;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;0
11;seg;10;1845;724;12;19;70;6;0;2676;1542;685;2;8;67;1;0;2305;4981;269;234;5484
11;ter;11;1898;775;11;16;0;4;0;2704;1529;667;3;3;0;1;0;2203;4907;285;237;5429
11;qua;12;1821;722;12;17;0;8;0;2580;1471;641;4;4;0;1;0;2121;4701;281;254;5236
11;qui;13;1711;672;11;15;65;7;0;2481;1318;603;5;5;57;0;0;1988;4469;254;241;4964
