Ano,Mês,Dia_semana,Dia_mês,Aluno,Bolsista,Pos_Doc,Aluno_Externo,Funcionario,Visitante,Comunidade,Total,refeicao,prato_principal_1,prato_principal_2,guarnição,sobremesa_1,sobremesa_2,Precipitacao_mm,Temp_max_C,Temp_min_C,Umid_rel_ar,Vento_velocidade_horaria (m/s),Vento_rajada_maxima (m/s),dia letivo
2023,4,qui,13,500.0,144.0,5.0,3.0,2.0,0.0,0.0,654.0,almoco,lasanha à bolonhesa,lasanha de pvt,acelga à chinesa,gelatina de morango,melão,0.0,28.133333333333336,25.266666666666666,58.0,1.3,4.3999999999999995,1
2023,4,qui,13,500.0,144.0,5.0,3.0,2.0,0.0,0.0,654.0,almoco,lasanha à bolonhesa,lasanha de pvt,acelga à chinesa,gelatina de morango,melão,0.0,28.133333333333336,25.266666666666666,58.0,1.3,4.3999999999999995,1
2023,4,sex,14,380.0,87.0,2.0,1.0,1.0,0.0,0.0,471.0,almoco,filé de frango empanado,curry de legumes,cenoura à sautê,bombom,abacaxi,0.0,23.133333333333336,20.0,79.33333333333333,1.5666666666666667,4.2,1
2023,4,seg,17,538.0,168.0,4.0,3.0,3.0,0.0,0.0,716.0,almoco,bife ao molho roty,pvt alemão,legumes ao forno,maxi chocolate,maçã,0.0,26.733333333333334,24.833333333333332,63.333333333333336,2.8333333333333335,7.7,1
2023,4,ter,18,586.0,175.0,3.0,34.0,2.0,0.0,0.0,800.0,almoco,hamburguer à pizzaiolo,hamburguer de grão de bico à pizzaiolo,penne ao alho e óleo com espinafre,sorvete de creme,banana,0.19999999999999998,24.7,23.266666666666666,83.33333333333333,2.2333333333333334,7.533333333333334,1
2023,4,qua,19,605.0,153.0,3.0,3.0,1.0,0.0,0.0,765.0,almoco,bife ao molho ferrugem,quibe de brócolis,acelga à chinesa,manjar de coco com calda de ameixa,abacaxi,0.0,23.96666666666667,22.366666666666664,64.0,1.5,6.1000000000000005,1
2023,4,qui,20,441.0,135.0,3.0,2.0,1.0,0.0,0.0,582.0,almoco,pernil ao molho de limão,lasanha berinjela com pvt,farofa,banana caramelada,laranja,0.0,20.633333333333336,19.0,47.333333333333336,1.0999999999999999,5.766666666666667,1
2023,4,seg,24,538.0,160.0,4.0,3.0,2.0,0.0,0.0,707.0,almoco,filé de frango empanado,rondele de queijos,vagem refogada,iogurte,tangerina,0.0,23.900000000000002,22.3,54.666666666666664,2.1666666666666665,6.766666666666667,1
2023,4,seg,24,538.0,160.0,4.0,3.0,2.0,0.0,0.0,707.0,almoco,filé de frango empanado,rondele de queijos,vagem refogada,iogurte,tangerina,0.0,23.900000000000002,22.3,54.666666666666664,2.1666666666666665,6.766666666666667,1
2023,4,ter,25,580.0,156.0,4.0,3.0,1.0,0.0,0.0,744.0,almoco,bife ao molho provençal,tomate recheado,quiabo refogado,canjica,banana,0.3333333333333333,24.366666666666664,22.866666666666664,57.666666666666664,2.066666666666667,5.566666666666666,1
