Ano,Mês,Dia_semana,Dia_mês,refeicao,prato_principal_1,prato_principal_2,guarnição,sobremesa_1,sobremesa_2,Aluno,Bolsista,Pos_Doc,Aluno_Externo,Comunidade,Visitantes,Funcionario,Total,Precipitacao_mm,Temp_max_C,Temp_min_C,Umid_rel_ar,Vento_velocidade_horaria (m/s),Vento_rajada_maxima (m/s),dia letivo
2023,1,qui,19,cafe da manha,,,,,,,,,,,,,39.0,0.0,21.75,19.95,82.5,1.35,4.0,0
2023,1,qui,19,almoco,quibe assado,quibe de pvt,repolho à escabeche,pudim de chocolate,laranja,476.0,176.0,3.0,25.0,0.0,0.0,0.0,680.0,0.0,27.333333333333332,25.633333333333336,62.333333333333336,1.7666666666666666,5.633333333333333,0
2023,1,qui,19,jantar,isca de frango ao molho rosê,ovo cozido,macarrão alho e óleo,manjar de coco,melancia,324.0,153.0,0.0,10.0,0.0,0.0,0.0,487.0,1.0666666666666667,20.366666666666664,19.733333333333334,89.66666666666667,0.0,4.133333333333333,0
2023,1,sex,20,cafe da manha,,,,,,,,,,,,,33.0,0.0,20.0,19.049999999999997,92.0,2.15,5.15,0
2023,1,sex,20,almoco,filé de coxa assado,cassoulet vegetariano,polenta ao sugo,mosaico de gelatina,mamão,444.0,150.0,0.0,24.0,0.0,0.0,1.0,619.0,0.0,24.666666666666668,22.866666666666664,74.66666666666667,2.3333333333333335,6.6000000000000005,0
2023,1,sex,20,jantar,hambúrguer ao sugo,hambúrguer de lentilha ao sugo,batata rústica,goiabada,banana,286.0,143.0,0.0,3.0,0.0,0.0,0.0,432.0,0.06666666666666667,22.3,20.666666666666668,89.0,1.3333333333333333,4.666666666666667,0
2023,1,sáb,21,almoco,bife ao molho roty,pvt mexicano,couve flor ao alho,mousse de maracujá,abacaxi,220.0,95.0,0.0,12.0,0.0,0.0,1.0,328.0,0.3333333333333333,22.766666666666666,20.766666666666666,86.66666666666667,1.3333333333333333,4.266666666666667,0
2023,1,seg,23,cafe da manha,,,,,,,,,,,,,42.0,0.0,20.75,19.75,94.0,0.6,3.75,0
2023,1,seg,23,almoco,carne moída refogada,pvt alemão,cenoura gratinada,torrone,maçã,516.0,176.0,1.0,28.0,0.0,0.0,0.0,721.0,0.0,26.166666666666668,24.099999999999998,69.0,1.9000000000000001,5.633333333333333,0
2023,1,seg,23,jantar,bisteca suína ao molho barbecue ,grão de bico à indiana,couve ao alho,chocolate,melão,375.0,184.0,0.0,8.0,0.0,0.0,0.0,567.0,0.19999999999999998,24.633333333333336,22.566666666666666,82.0,1.0333333333333334,5.933333333333333,0
