Ano,Mês,Dia_semana,Dia_mês,total,prato_principal_1,prato_principal_2,guarnição,sobremesa_1,letivo,feriado,ferias,vespera_nao_letivo,pos_nao_letivo,vespera_feriado,pos_feriado,dias_desde_inicio_ferias,dias_desde_ultimas_ferias,dias_ate_ferias,dias_ate_feriado
2023,7,seg,31,0.0,Carne em cubos,Grãos com queijo,Legumes,Pão de mel,0,0,1,1,1,0,0,16,0,0,14
2023,8,ter,1,0.0,Bife,Quibe de brócolis,Macarrão,Cocada,0,0,1,1,1,0,0,17,0,0,13
2023,8,qua,2,0.0,Frango assado,PVT,Polenta,Iogurte,0,0,1,1,1,0,0,18,0,0,12
2023,8,qui,3,0.0,Lombo,Cassoulet,Batata,Picolé,0,0,1,1,1,0,0,19,0,0,11
2023,8,sex,4,0.0,Lagarto,Ovo frito,Farofa,Brigadeirão,0,0,1,1,1,0,0,20,0,0,10
2023,8,sáb,5,0.0,Bife,PVT,Batata doce,Mousse de morango,0,0,1,1,1,0,0,21,0,0,9
2023,8,seg,7,533.0,Fricassê de frango,Curry de legumes,Batata palha,Doce de leite,1,0,0,0,1,0,0,0,0,136,7
2023,8,ter,8,632.0,Lasanha bolonhesa,Lasanha de PVT,Chuchu,Rocambole de chocolate,1,0,0,0,0,0,0,0,1,135,6
2023,8,qua,9,631.0,Bife,Omelete,Abobrinha,Mousse de limão,1,0,0,0,0,0,0,0,2,134,5
2023,8,qui,10,559.0,Feijoada,Feijoada vegetariana,Couve,Gelatina,1,0,0,0,0,0,0,0,3,133,4
2023,8,sex,11,227.0,Filé de peixe,Suflê de legumes,Batata,Surpresa de abacaxi,1,0,0,0,0,0,0,0,4,132,3
2023,8,sáb,12,0.0,Filé de frango,Bife de PVT,Vagem,Pudim de coco,1,0,0,1,0,0,0,0,5,131,2
2023,8,qua,16,718.0,Frango empanado,PVT,Creme de milho,Goiabada,1,0,0,0,1,0,1,0,9,127,19
2023,8,qui,17,660.0,Carne moída,Bife de grão de bico,Ervilha parmentier,Bombom,1,0,0,0,0,0,0,0,10,126,18
2023,8,sex,18,428.0,Carne de panela,Moussaka,Nhoque,Sorvete,1,0,0,0,0,0,0,0,11,125,17
2023,8,sáb,19,0.0,Pernil,Curry de legumes,Farofa,Surpresa de banana,1,0,0,1,0,0,0,0,12,124,16
2023,8,seg,21,558.0,Frango empanado,Quibe de PVT,Acelga,Bananada,1,0,0,0,1,0,0,0,14,122,14
2023,8,ter,22,745.0,Bife,Tomate recheado,Legumes,Gelatina,1,0,0,0,0,0,0,0,15,121,13
2023,8,qua,23,714.0,Estrogonofe de carne,Suflê de legumes,Batata palha,Barra de cereais,1,0,0,0,0,0,0,0,16,120,12
