Ano,Mês,Dia_semana,Dia_mês,refeicao,total,prato_principal_1,prato_principal_2,guarnição,sobremesa_1,Precipitacao_mm,Temp_max_C,Temp_min_C,Umid_rel_ar,Vento_velocidade_ms,Vento_rajada_maxima_ms,letivo,feriado,ferias,vespera_nao_letivo,pos_nao_letivo,vespera_feriado,pos_feriado,dias_desde_inicio_ferias,dias_desde_ultimas_ferias,dias_ate_ferias,dias_ate_feriado
2023,1,qui,26,almoco,831.0,Panqueca de carne,Panqueca de PVT,Legumes,Iogurte,0.0,28.3,26.866666666666664,53.333333333333336,2.4,7.066666666666666,0,0,1,1,1,0,0,25,0,0,67
2023,1,qui,26,jantar,665.0,Frango empanado,Ovo frito,Creme de milho,Gelatina,0.0,28.96666666666667,27.400000000000002,52.0,1.4000000000000001,4.433333333333334,0,0,1,1,1,0,0,25,0,0,67
2023,1,sex,27,almoco,763.0,Frango assado,Omelete,Batata,Brigadeirão,0.0,27.233333333333334,25.633333333333336,62.0,2.1333333333333333,6.7,0,0,1,1,1,0,0,26,0,0,66
2023,1,sex,27,jantar,397.0,Bife,Grãos gratinados,Couve-flor,Cocada,0.13333333333333333,27.566666666666663,25.066666666666666,66.33333333333333,1.3333333333333333,6.066666666666667,0,0,1,1,1,0,0,26,0,0,66
2023,1,sáb,28,almoco,382.0,Cubos de pernil,Quibe de PVT,Batata doce,Curau,1.7999999999999998,21.0,19.900000000000002,93.33333333333333,1.0,5.566666666666666,0,0,1,1,1,0,0,27,0,0,65
2023,1,seg,30,almoco,774.0,Carne em cubos,Ovo frito,Purês,Bombom,0.06666666666666667,25.066666666666663,22.099999999999998,78.0,2.3666666666666667,5.733333333333333,0,0,1,1,1,0,0,29,0,0,63
2023,1,seg,30,jantar,535.0,Lombo,PVT,Farofa,Iogurte,8.799999999999999,23.066666666666666,20.599999999999998,87.66666666666667,0.5666666666666667,4.233333333333333,0,0,1,1,1,0,0,29,0,0,63
2023,1,ter,31,almoco,864.0,Filé de frango,Bife de grão de bico,Brócolis,Doce de abóbora,0.0,26.633333333333336,25.0,62.666666666666664,2.1,6.3999999999999995,0,0,1,1,1,0,0,30,0,0,62
2023,1,ter,31,jantar,627.0,Bife,PVT,Legumes,Bananada,0.0,27.433333333333334,26.066666666666666,65.66666666666667,0.43333333333333335,3.8666666666666667,0,0,1,1,1,0,0,30,0,0,62
2023,2,qua,1,almoco,891.0,Estrogonofe de carne,Bobó de abóbora,Vagem,Picolé,0.0,26.599999999999998,25.099999999999998,65.0,1.3333333333333333,3.9333333333333336,0,0,1,1,1,0,0,31,0,0,61
2023,2,qua,1,jantar,634.0,Peixe frito,Ovo cozido,Batata,Maria mole,0.19999999999999998,23.433333333333334,22.166666666666668,83.66666666666667,0.16666666666666666,1.5333333333333332,0,0,1,1,1,0,0,31,0,0,61
2023,2,qui,2,almoco,836.0,Bife,Almôndega de aveia,Nhoque,Goiabada,0.39999999999999997,26.599999999999998,23.96666666666667,76.66666666666667,2.3666666666666667,6.533333333333334,0,0,1,1,1,0,0,32,0,0,60
2023,2,qui,2,jantar,596.0,Filé de frango,Grãos com queijo,Cenoura,Mosaico,0.06666666666666667,22.53333333333333,21.666666666666668,89.0,1.2,6.733333333333333,0,0,1,1,1,0,0,32,0,0,60
2023,2,sex,3,almoco,785.0,Pernil,Curry de legumes,Virado,Brigadeirão,0.0,26.366666666666664,24.333333333333332,70.66666666666667,1.8333333333333333,5.7,0,0,1,1,1,0,0,33,0,0,59
2023,2,sex,3,jantar,530.0,Quibe,Quibe de PVT,Couve-flor,Romeu,0.0,27.733333333333334,25.400000000000002,68.0,2.2,7.3,0,0,1,1,1,0,0,33,0,0,59
2023,2,sáb,4,almoco,433.0,Bife,Bife de PVT,Chuchu,Pudim de morango,0.0,24.46666666666667,22.900000000000002,76.33333333333333,3.0,7.333333333333333,0,0,1,1,1,0,0,34,0,0,58
2023,2,seg,6,almoco,903.0,Bife,Tomate recheado,Mandioca,Iogurte,0.0,27.266666666666666,25.46666666666667,65.33333333333333,2.033333333333333,5.666666666666667,0,0,1,1,1,0,0,36,0,0,56
2023,2,seg,6,jantar,705.0,Pernil,Ovo frito,Virado,Picolé,0.0,26.3,24.766666666666666,67.66666666666667,0.3666666666666667,4.2,0,0,1,1,1,0,0,36,0,0,56
2023,2,ter,7,almoco,1031.0,Frango empanado,Almôndega de feijão,Creme de milho,Gelatina,0.0,26.53333333333333,25.066666666666666,67.33333333333333,1.6333333333333335,5.433333333333334,0,0,1,1,1,0,0,37,0,0,55
2023,2,ter,7,jantar,784.0,Lasanha bolonhesa,Lasanha de PVT,Acelga,Goiabada,1.0666666666666667,22.766666666666666,20.866666666666664,90.33333333333333,0.3333333333333333,4.366666666666667,0,0,1,1,1,0,0,37,0,0,55
2023,2,qua,8,almoco,951.0,Lombo,Cassoulet,Farofa,Brigadeirão,0.0,28.099999999999998,26.5,59.0,1.7,4.833333333333333,0,0,1,1,1,0,0,38,0,0,54
2023,2,qua,8,jantar,618.0,Bife,PVT,Batata doce,Arroz doce,0.0,29.46666666666667,26.666666666666668,60.0,0.9,6.0,0,0,1,1,1,0,0,38,0,0,54
