Ano,Mês,Dia_mês,Dia_semana,letivo,feriado,ferias,vespera_nao_letivo,pos_nao_letivo,vespera_feriado,pos_feriado,dias_desde_inicio_ferias,dias_desde_ultimas_ferias,dias_ate_ferias,dias_ate_feriado
2023,6,5,seg,1,0,0,0,1,0,0,0,84,40,3
2023,6,6,ter,1,0,0,0,0,0,0,0,85,39,2
2023,6,7,qua,1,0,0,1,0,1,0,0,86,38,1
2023,6,8,qui,0,1,0,1,0,1,0,0,87,37,0
2023,6,9,sex,0,1,0,1,1,1,1,0,88,36,0
2023,6,10,sáb,0,1,0,1,1,0,1,0,89,35,0
2023,6,11,dom,0,0,0,0,1,0,1,0,90,34,64
2023,6,12,seg,1,0,0,0,1,0,0,0,91,33,63
2023,6,13,ter,1,0,0,0,0,0,0,0,92,32,62
2023,6,14,qua,1,0,0,0,0,0,0,0,93,31,61
2023,6,15,qui,1,0,0,0,0,0,0,0,94,30,60
2023,6,16,sex,1,0,0,0,0,0,0,0,95,29,59
2023,6,17,sáb,1,0,0,1,0,0,0,0,96,28,58
2023,6,18,dom,0,0,0,0,0,0,0,0,97,27,57
2023,6,19,seg,1,0,0,0,1,0,0,0,98,26,56
2023,6,20,ter,1,0,0,0,0,0,0,0,99,25,55
2023,6,21,qua,1,0,0,0,0,0,0,0,100,24,54
2023,6,22,qui,1,0,0,0,0,0,0,0,101,23,53
2023,6,23,sex,1,0,0,0,0,0,0,0,102,22,52
2023,6,24,sáb,1,0,0,1,0,0,0,0,103,21,51
2023,6,25,dom,0,0,0,0,0,0,0,0,104,20,50
2023,6,26,seg,1,0,0,0,1,0,0,0,105,19,49
2023,6,27,ter,1,0,0,0,0,0,0,0,106,18,48
2023,6,28,qua,1,0,0,0,0,0,0,0,107,17,47
2023,6,29,qui,1,0,0,0,0,0,0,0,108,16,46
2023,6,30,sex,1,0,0,0,0,0,0,0,109,15,45
2023,7,1,sáb,1,0,0,1,0,0,0,0,110,14,44
2023,7,2,dom,0,0,0,0,0,0,0,0,111,13,43
2023,7,3,seg,1,0,0,0,1,0,0,0,112,12,42
2023,7,4,ter,1,0,0,0,0,0,0,0,113,11,41
2023,7,5,qua,1,0,0,0,0,0,0,0,114,10,40
2023,7,6,qui,1,0,0,0,0,0,0,0,115,9,39
2023,7,7,sex,1,0,0,0,0,0,0,0,116,8,38
2023,7,8,sáb,1,0,0,1,0,0,0,0,117,7,37
2023,7,9,dom,0,0,0,0,0,0,0,0,118,6,36
2023,7,10,seg,1,0,0,0,1,0,0,0,119,5,35
2023,7,11,ter,1,0,0,0,0,0,0,0,120,4,34
2023,7,12,qua,1,0,0,0,0,0,0,0,121,3,33
2023,7,13,qui,1,0,0,0,0,0,0,0,122,2,32
2023,7,14,sex,1,0,0,1,0,0,0,0,123,1,31
2023,7,15,sáb,0,0,1,1,0,0,0,0,0,0,30
2023,7,16,dom,0,0,1,1,1,0,0,1,0,0,29
2023,7,17,seg,0,0,1,1,1,0,0,2,0,0,28
2023,7,18,ter,0,0,1,1,1,0,0,3,0,0,27
2023,7,19,qua,0,0,1,1,1,0,0,4,0,0,26
2023,7,20,qui,0,0,1,1,1,0,0,5,0,0,25
2023,7,21,sex,0,0,1,1,1,0,0,6,0,0,24
2023,7,22,sáb,0,0,1,1,1,0,0,7,0,0,23
2023,7,23,dom,0,0,1,1,1,0,0,8,0,0,22
2023,7,24,seg,0,0,1,1,1,0,0,9,0,0,21
2023,7,25,ter,0,0,1,1,1,0,0,10,0,0,20
2023,7,26,qua,0,0,1,1,1,0,0,11,0,0,19
2023,7,27,qui,0,0,1,1,1,0,0,12,0,0,18
2023,7,28,sex,0,0,1,1,1,0,0,13,0,0,17
2023,7,29,sáb,0,0,1,1,1,0,0,14,0,0,16
2023,7,30,dom,0,0,1,1,1,0,0,15,0,0,15
2023,7,31,seg,0,0,1,1,1,0,0,16,0,0,14
2023,8,1,ter,0,0,1,1,1,0,0,17,0,0,13
2023,8,2,qua,0,0,1,1,1,0,0,18,0,0,12
2023,8,3,qui,0,0,1,1,1,0,0,19,0,0,11
2023,8,4,sex,0,0,1,1,1,0,0,20,0,0,10
2023,8,5,sáb,0,0,1,1,1,0,0,21,0,0,9
2023,8,6,dom,0,0,1,0,1,0,0,22,0,0,8
2023,8,7,seg,1,0,0,0,1,0,0,0,0,136,7
2023,8,8,ter,1,0,0,0,0,0,0,0,1,135,6
2023,8,9,qua,1,0,0,0,0,0,0,0,2,134,5
2023,8,10,qui,1,0,0,0,0,0,0,0,3,133,4
2023,8,11,sex,1,0,0,0,0,0,0,0,4,132,3
2023,8,12,sáb,1,0,0,1,0,0,0,0,5,131,2
2023,8,13,dom,0,0,0,1,0,1,0,0,6,130,1
2023,8,14,seg,0,1,0,1,1,1,0,0,7,129,0
2023,8,15,ter,0,1,0,0,1,0,1,0,8,128,0
2023,8,16,qua,1,0,0,0,1,0,1,0,9,127,19
2023,8,17,qui,1,0,0,0,0,0,0,0,10,126,18
2023,8,18,sex,1,0,0,0,0,0,0,0,11,125,17
2023,8,19,sáb,1,0,0,1,0,0,0,0,12,124,16
2023,8,20,dom,0,0,0,0,0,0,0,0,13,123,15
2023,8,21,seg,1,0,0,0,1,0,0,0,14,122,14
2023,8,22,ter,1,0,0,0,0,0,0,0,15,121,13
2023,8,23,qua,1,0,0,0,0,0,0,0,16,120,12
2023,8,24,qui,1,0,0,0,0,0,0,0,17,119,11
2023,8,25,sex,1,0,0,0,0,0,0,0,18,118,10
2023,8,26,sáb,1,0,0,1,0,0,0,0,19,117,9
2023,8,27,dom,0,0,0,0,0,0,0,0,20,116,8
2023,8,28,seg,1,0,0,0,1,0,0,0,21,115,7
2023,8,29,ter,1,0,0,0,0,0,0,0,22,114,6
2023,8,30,qua,1,0,0,0,0,0,0,0,23,113,5
2023,8,31,qui,1,0,0,0,0,0,0,0,24,112,4
2023,9,1,sex,1,0,0,0,0,0,0,0,25,111,3
2023,9,2,sáb,1,0,0,1,0,0,0,0,26,110,2
2023,9,3,dom,0,0,0,1,0,1,0,0,27,109,1
2023,9,4,seg,0,1,0,1,1,1,0,0,28,108,0
2023,9,5,ter,0,1,0,1,1,1,1,0,29,107,0
2023,9,6,qua,0,1,0,1,1,1,1,0,30,106,0
